id,Player,height,weight,college,born,birth_city,birth_state
2016,Todd Fuller,193,81,Pepperdine University,1958,Detroit,Michigan
2017,Dean Garrett,208,102,Indiana University,1966,Los Angeles,California
2018,Reggie Geary,188,84,University of Arizona,1973,Trenton,New Jersey
2019,Devin Gray,201,108,Clemson University,1972,Baltimore,Maryland
2020,Evric Gray,201,106,"University of Nevada, Las Vegas",1969,Bloomington,California
2021,Darvin Ham,201,99,Texas Tech University,1973,Saginaw,Michigan
2022,Steve Hamer,213,111,University of Tennessee,1973,Memphis,Tennessee
2023,Othella Harrington,206,106,Georgetown University,1974,Jackson,Mississippi
2024,Michael Hawkins,183,80,Xavier University,1972,Canton,Ohio
2025,Mark Hendrickson,206,99,Washington State University,1974,Mount Vernon,Washington
2026,Allen Iverson*,183,74,Georgetown University,1975,Hampton,Virginia
2027,Kerry Kittles,196,81,Villanova University,1974,Dayton,Ohio
2028,Travis Knight,213,106,University of Connecticut,1974,Salt Lake City,Utah
2029,Priest Lauderdale,224,147,Central State University,1973,Chicago,Illinois
2030,Randy Livingston,193,94,Louisiana State University,1975,New Orleans,Louisiana
2031,Horacio Llamas,211,129,Grand Canyon University,1973,El Rosario,Mexico
2032,Matt Maloney,190,87,University of Pennsylvania,1971,Silver Spring,Maryland
2033,Stephon Marbury,188,81,Georgia Institute of Technology,1977,Brooklyn,New York
2034,Walter McCarty,208,104,University of Kentucky,1974,Evansville,Indiana
2035,Amal McCaskill,211,106,Marquette University,1973,Maywood,Illinois
2036,Jeff McInnis,193,86,University of North Carolina,1974,Charlotte,North Carolina
2037,Steve Nash,190,88,Santa Clara University,1974,Johannesburg,South Africa
2038,Ruben Nembhard,190,94,Weber State University,1972,Bronx,New York
2039,Gaylon Nickerson,190,86,Northwestern Oklahoma State University,1969,Osecola,Arkansas
2040,Moochie Norris,185,79,University of West Florida,1973,Washington,District of Columbia
2041,Ray Owes,206,101,University of Arizona,1972,San Bernardino,California
2042,Vitaly Potapenko,208,127,Wright State University,1975,Kiev,Ukraine
2043,Chris Robinson,196,90,Western Kentucky University,1974,Columbus,Georgia
2044,Roy Rogers,201,106,Wake Forest University,1971,Durham,North Carolina
2045,Malik Rose,201,113,Drexel University,1974,Philadelphia,Pennsylvania
2046,Kevin Salvadori,213,104,University of North Carolina,1970,Wheeling,West Virginia
2047,Jason Sasser,201,102,Texas Tech University,1974,Denton,Texas
2048,Brent Scott,208,113,Rice University,1971,Jackson,Michigan
2049,James Scott,198,81,St. John's University,1972,Paterson,New Jersey
2050,Shawnelle Scott,208,113,St. John's University,1972,New York,New York
2051,Stevin Smith,201,90,Michigan State University,1969,Highland Park,Michigan
2052,Matt Steigenga,201,102,Michigan State University,1970,Grand Rapids,Michigan
2053,Joe Stephens,201,95,University of Arkansas at Little Rock,1973,Riverside,California
2054,Erick Strickland,190,95,University of Nebraska,1973,Opelika,Alabama
2055,Brett Szabo,211,104,Augustana College (SD),1968,Postville,Iowa
2056,Antoine Walker,193,86,Niagara University,1955,Long Island City,New York
2057,Samaki Walker,206,108,University of Louisville,1976,Columbus,Ohio
2058,Ben Wallace,206,108,Virginia Union University,1974,White Hall,Alabama
2059,John Wallace,203,102,Syracuse University,1974,Rochester,New York
2060,Donald Whiteside,178,72,Northern Illinois University,1969,Chicago,Illinois
2061,Jerome Williams,206,93,Georgetown University,1973,Washington,District of Columbia
2062,Lorenzen Wright,188,92,Colorado State University,1945,Newark,New Jersey
2063,Tariq Abdul-Wahad,198,101,San Jose State University,1974,Maisons Alfort,France
2064,Derek Anderson,196,87,University of Kentucky,1974,Louisville,Kentucky
2065,Drew Barry,196,86,Georgia Institute of Technology,1973,Oakland,California
2066,Tony Battie,211,104,Texas Tech University,1976,Dallas,Texas
2067,Chauncey Billups,190,91,University of Colorado,1976,Denver,Colorado
2068,Etdrick Bohannon,206,99,Auburn University at Montgomery,1973,San Bernardino,California
2069,Keith Booth,198,102,University of Maryland,1974,Baltimore,Maryland
2070,Rick Brunson,193,86,Temple University,1972,Syracuse,New York
2071,Kelvin Cato,211,115,Iowa State University,1974,Atlanta,Georgia
2072,Keith Closs,221,96,Central Connecticut State University,1976,Hartford,Connecticut
2073,James Collins,193,88,Florida State University,1973,Jacksonville,Florida
2074,James Cotton,201,90,University of Wyoming,1924,Miles City,Montana
2075,Chris Crawford,206,106,Marquette University,1975,Kalamazoo,Michigan
2076,Austin Croshere,206,106,Providence College,1975,Los Angeles,California
2077,William Cunningham,211,113,Temple University,1974,Augusta,Georgia
2078,Antonio Daniels,193,88,Bowling Green State University,1975,Columbus,Ohio
2079,Tim Duncan,211,113,Wake Forest University,1976,St. Croix,U.S. Virgin Islands
2080,Tony Farmer,206,110,University of Nebraska,1970,Los Angeles,California
2081,Danny Fortson,201,117,University of Cincinnati,1976,Philadelphia,Pennsylvania
2082,Adonal Foyle,208,113,Colgate University,1975,Canouan,Saint Vincent and the Grenadines
2083,Lawrence Funderburke,206,104,Ohio State University,1970,Columbus,Ohio
2084,Chris Garner,178,70,University of Memphis,1975,Memphis,Tennessee
2085,Kiwane Garris,188,83,University of Illinois at Urbana-Champaign,1974,Chicago,Illinois
2086,Ed Gray,190,95,University of California,1975,Riverside,California
2087,Derek Grimm,206,104,University of Missouri,1974,Peoria,Illinois
2088,Reggie Hanson,203,88,University of Kentucky,1968,Charlotte,North Carolina
2089,Jerald Honeycutt,206,111,Tulane University,1974,Shreveport,Louisiana
2090,Troy Hudson,185,77,Southern Illinois University,1976,Carbondale,Illinois
2091,Bobby Jackson,185,83,University of Minnesota,1973,East Spencer,North Carolina
2092,Anthony Johnson,196,97,University of Portland,1932,Los Angeles,California
2093,Dontae' Jones,203,99,Mississippi State University,1975,Nashville,Tennessee
2094,Brevin Knight,178,78,Stanford University,1975,Livingston,New Jersey
2095,Rusty LaRue,188,95,Wake Forest University,1973,Winston-Salem,North Carolina
2096,Jason Lawson,211,108,Villanova University,1974,Philadelphia,Pennsylvania
2097,Michael McDonald,208,105,University of New Orleans,1969,Longview,Texas
2098,Ron Mercer,201,95,University of Kentucky,1976,Nashville,Tennessee
2099,Jeff Nordgaard,201,102,University of Wisconsin-Green Bay,1973,Dawson,Minnesota
2100,Charles O'Bannon,196,94,"University of California, Los Angeles",1975,Bellflower,California
2101,Kevin Ollie,193,88,University of Connecticut,1972,Dallas,Texas
2102,Anthony Parker,198,97,Bradley University,1975,Naperville,Illinois
2103,Scot Pollard,211,120,University of Kansas,1975,Murray,Utah
2104,Mark Pope,208,106,University of Kentucky,1972,Omaha,Nebraska
2105,Rodrick Rhodes,198,102,University of Southern California,1973,Jersey City,New Jersey
2106,Shea Seals,196,95,University of Tulsa,1975,Tulsa,Oklahoma
2107,God Shammgod,183,76,Providence College,1976,New York,New York
2108,Kebu Stewart,203,108,"California State University, Bakersfield",1973,Brooklyn,New York
2109,Michael Stewart,208,104,University of California,1975,Cucq-Trepied-Stella-Plage,France
2110,Ed Stokes,213,119,University of Arizona,1971,Syracuse,New York
2111,Johnny Taylor,206,99,University of Tennessee at Chattanooga,1974,Chattanooga,Tennessee
2112,Maurice Taylor,206,117,University of Michigan,1976,Detroit,Michigan
2113,John Thomas,198,92,Marquette University,1948,Canton,Georgia
2114,Tim Thomas,208,104,Villanova University,1977,Paterson,New Jersey
2115,Jacque Vaughn,185,86,University of Kansas,1975,Los Angeles,California
2116,Eric Washington,193,86,University of Alabama,1974,Pearl,Mississippi
2117,Bubba Wells,196,104,Austin Peay State University,1974,Russellville,Kentucky
2118,DeJuan Wheat,183,74,University of Louisville,1973,Louisville,Kentucky
2119,Brandon Williams,198,97,Davidson College,1975,Collinston,Louisiana
2120,Travis Williams,198,97,South Carolina State University,1969,Columbia,South Carolina
2121,Peter Aluma,208,117,Liberty University,1973,Lagos,Nigeria
2122,Toby Bailey,198,96,"University of California, Los Angeles",1975,Los Angeles,California
2123,LaMark Baker,185,79,Ohio State University,1969,Dayton,Ohio
2124,Corey Benjamin,198,90,Oregon State University,1978,Compton,California
2125,Mike Bibby,185,86,University of Arizona,1978,Cherry Hill,New Jersey
2126,Earl Boykins,165,61,Eastern Michigan University,1976,Cleveland,Ohio
2127,Cory Carr,190,95,Texas Tech University,1975,Fordyce,Arkansas
2128,Vince Carter,198,99,University of North Carolina,1977,Daytona Beach,Florida
2129,Keon Clark,211,99,"University of Nevada, Las Vegas",1975,Danville,Illinois
2130,Ricky Davis,198,88,University of Iowa,1979,Las Vegas,Nevada
2131,Michael Dickerson,196,86,University of Arizona,1975,Greenville,South Carolina
2132,Michael Doleac,211,118,University of Utah,1977,San Antonio,Texas
2133,Bryce Drew,188,83,Valparaiso University,1974,Baton Rouge,Louisiana
2134,Marlon Garnett,188,84,Santa Clara University,1975,Los Angeles,California
2135,Pat Garrity,206,107,University of Notre Dame,1976,Las Vegas,Nevada
2136,Paul Grant,213,111,University of Wisconsin,1974,Pittsburgh,Pennsylvania
2137,Matt Harpring,201,104,Georgia Institute of Technology,1976,Cincinnati,Ohio
2138,Larry Hughes,196,83,Saint Louis University,1979,St. Louis,Missouri
2139,Randell Jackson,188,86,"University of California, Los Angeles",1962,Los Angeles,California
2140,Sam Jacobson,193,97,University of Minnesota,1975,Cottage Grove,Minnesota
2141,Jerome James,213,136,Florida Agricultural and Mechanical University,1975,Tampa,Florida
2142,Antawn Jamison,203,101,University of North Carolina,1976,Shreveport,Louisiana
2143,Damon Jones,190,83,University of Houston,1976,Galveston,Texas
2144,Jonathan Kerner,211,111,East Carolina University,1974,Atlanta,Georgia
2145,Gerard King,183,79,University of Charleston,1928,Charleston,West Virginia
2146,Raef LaFrentz,211,108,University of Kansas,1976,Hampton,Iowa
2147,Rashard Lewis,198,90,La Salle University,1963,Philadelphia,Pennsylvania
2148,Felipe Lopez,196,90,St. John's University,1974,Santo Domingo,Dominican Republic
2149,Tyronn Lue,183,79,University of Nebraska,1977,Mexico,Missouri
2150,Sean Marks,208,113,University of California,1975,Auckland,New Zealand
2151,Kelly McCarty,201,90,University of Southern Mississippi,1975,Chicago,Illinois
2152,Jelani McCoy,208,111,"University of California, Los Angeles",1977,Oakland,California
2153,Roshown McLeod,203,100,Duke University,1975,Jersey City,New Jersey
2154,Brad Miller,211,110,Purdue University,1976,Fort Wayne,Indiana
2155,Cuttino Mobley,193,86,University of Rhode Island,1975,Philadelphia,Pennsylvania
2156,Nazr Mohammed,208,100,University of Kentucky,1977,Chicago,Illinois
2157,Mikki Moore,211,102,University of Nebraska,1975,Orangeburg,South Carolina
2158,Makhtar N'Diaye,203,111,University of North Carolina,1973,Dakar,Senegal
2159,Tyrone Nesby,198,102,"University of Nevada, Las Vegas",1976,Cairo,Illinois
2160,Michael Olowokandi,213,122,University of the Pacific,1975,Lagos,Nigeria
2161,Andrae Patterson,206,107,Indiana University,1975,Riverside,California
2162,Ruben Patterson,196,101,University of Cincinnati,1975,Cleveland,Ohio
2163,Paul Pierce,201,106,University of Kansas,1977,Oakland,California
2164,Casey Shaw,211,117,University of Toledo,1975,Lebanon,Ohio
2165,Jeffrey Sheppard,190,86,University of Kentucky,1974,Marietta,Georgia
2166,Miles Simon,190,91,University of Arizona,1975,Stockholm,Sweden
2167,Alvin Sims,193,106,University of Louisville,1974,Paris,Kentucky
2168,Brian Skinner,206,115,Baylor University,1976,Temple,Texas
2169,Ryan Stack,211,97,University of South Carolina,1975,Nashville,Tennessee
2170,Robert Traylor,203,128,University of Michigan,1977,Detroit,Michigan
2171,Bonzi Wells,196,95,Ball State University,1976,Muncie,Indiana
2172,Tyson Wheeler,178,74,University of Rhode Island,1975,New Britain,Connecticut
2173,Jahidi White,206,131,Georgetown University,1976,St. Louis,Missouri
2174,Jason Williams,206,108,St. John's University,1968,Ritter,South Carolina
2175,Shammond Williams,185,91,University of North Carolina,1975,Bronx,New York
2176,Trevor Winter,213,124,University of Minnesota,1974,Slayton,Minnesota
2177,Rafer Alston,188,77,"California State University, Fresno",1976,New York,New York
2178,Chucky Atkins,180,72,University of South Florida,1974,Orlando,Florida
2179,William Avery,188,89,Duke University,1979,Augusta,Georgia
2180,Calvin Booth,211,104,Pennsylvania State University,1976,Reynoldsburg,Ohio
2181,Cal Bowdler,208,111,Old Dominion University,1977,Sharps,Virginia
2182,Ryan Bowen,201,97,University of Iowa,1975,Fort Madison,Iowa
2183,Ira Bowman,196,88,University of Pennsylvania,1973,Newark,New Jersey
2184,Elton Brand,203,124,Duke University,1979,Cortlandt Manor,New York
2185,Greg Buckner,193,95,Clemson University,1976,Hopkinsville,Kentucky
2186,Rodney Buford,196,85,Creighton University,1977,Milwaukee,Wisconsin
2187,Anthony Carter,185,86,University of Hawaii,1975,Milwaukee,Wisconsin
2188,John Celestand,193,80,Villanova University,1977,Houston,Texas
2189,Vonteego Cummings,190,83,University of Pittsburgh,1976,Thomson,Georgia
2190,Baron Davis,190,94,"University of California, Los Angeles",1979,Los Angeles,California
2191,Derrick Dial,193,83,Eastern Michigan University,1975,Detroit,Michigan
2192,Obinna Ekezie,206,122,University of Maryland,1975,Port Harcourt,Nigeria
2193,Evan Eschmeyer,211,115,Northwestern University,1975,New Knoxville,Ohio
2194,Jeff Foster,211,107,Texas State University,1977,San Antonio,Texas
2195,Steve Francis,190,88,University of Maryland,1977,Silver Spring,Maryland
2196,Devean George,203,99,Augsburg College,1977,Minneapolis,Minnesota
2197,Dion Glover,196,103,Georgia Institute of Technology,1978,Marietta,Georgia
2198,Adrian Griffin,196,98,Seton Hall University,1974,Wichita,Kansas
2199,Richard Hamilton,198,83,University of Connecticut,1978,Coatesville,Pennsylvania
2200,Chris Herren,188,89,"California State University, Fresno",1975,Fall River,Massachusetts
2201,Derek Hood,203,100,University of Arkansas,1976,Kansas City,Missouri
2202,Rick Hughes,196,97,Loyola University of Chicago,1962,Chicago,Illinois
2203,Jermaine Jackson,193,92,University of Detroit Mercy,1976,Detroit,Michigan
2204,Tim James,201,96,University of Miami,1976,Miami,Florida
2205,Harold Jamison,203,117,Clemson University,1976,Orangeburg,South Carolina
2206,DeMarco Johnson,193,83,Pepperdine University,1954,San Pedro,California
2207,Jumaine Jones,203,98,University of Georgia,1979,Cocoa,Florida
2208,Lari Ketner,206,125,University of Massachusetts Amherst,1977,Philadelphia,Pennsylvania
2209,Trajan Langdon,190,89,Duke University,1976,Palo Alto,California
2210,Quincy Lewis,201,97,University of Minnesota,1977,Little Rock,Arkansas
2211,Todd MacCulloch,213,127,University of Washington,1976,Winnipeg,Canada
2212,Corey Maggette,198,98,Duke University,1979,Melrose Park,Illinois
2213,Shawn Marion,201,99,"University of Nevada, Las Vegas",1978,Waukegan,Illinois
2214,Andre Miller,206,102,Michigan State University,1971,Benton Harbor,Michigan
2215,Jason Miskiri,188,79,George Mason University,1975,Georgetown,Guyana
2216,Lamar Odom,208,99,University of Rhode Island,1979,Jamaica,New York
2217,Scott Padgett,206,108,University of Kentucky,1976,Louisville,Kentucky
2218,Milt Palacio,190,88,Colorado State University,1978,Los Angeles,California
2219,James Posey,203,97,Xavier University,1977,Cleveland,Ohio
2220,Laron Profit,196,92,University of Maryland,1977,Charleston,South Carolina
2221,Aleksandar Radojevic,221,113,Barton County Community College,1976,Herceg Novi,Montenegro
2222,Ryan Robertson,196,86,University of Kansas,1976,Lawton,Oklahoma
2223,Eddie Robinson,203,95,University of Central Oklahoma,1976,Flint,Michigan
2224,Michael Ruffin,206,111,University of Tulsa,1977,Denver,Colorado
2225,Wally Szczerbiak,198,95,George Washington University,1949,Pittsburgh,Pennsylvania
2226,Jason Terry,188,83,University of Arizona,1977,Seattle,Washington
2227,Jamel Thomas,198,97,Providence College,1973,Brooklyn,New York
2228,Kenny Thomas,201,118,University of New Mexico,1977,Atlanta,Georgia
2229,Wayne Turner,188,86,University of Kentucky,1976,Boston,Massachusetts
2230,Dedric Willoughby,190,81,Iowa State University,1974,New Orleans,Louisiana
2231,Tim Young,213,99,Stanford University,1976,Santa Cruz,California
2232,Courtney Alexander,185,83,University of Virginia,1973,Waynesboro,Virginia
